wall id   286 face     -.490393E-01      .975451E-02      .000000E+00     -.490393E-01      .975451E-02      .100000E-01     -.497592E-01      .490085E-02      .100000E-01     -.497592E-01      .490085E-02      .000000E+00
wall id   287 face     -.497592E-01      .490085E-02      .000000E+00     -.497592E-01      .490085E-02      .100000E-01     -.500000E-01     -.437114E-08      .100000E-01     -.500000E-01     -.437114E-08      .000000E+00
wall id   288 face     -.500000E-01     -.437114E-08      .000000E+00     -.500000E-01     -.437114E-08      .100000E-01     -.497592E-01     -.490086E-02      .100000E-01     -.497592E-01     -.490086E-02      .000000E+00
wall id   289 face     -.497592E-01     -.490086E-02      .000000E+00     -.497592E-01     -.490086E-02      .100000E-01     -.490393E-01     -.975452E-02      .100000E-01     -.490393E-01     -.975452E-02      .000000E+00
wall id   290 face     -.490393E-01     -.975452E-02      .000000E+00     -.490393E-01     -.975452E-02      .100000E-01     -.478470E-01     -.145142E-01      .100000E-01     -.478470E-01     -.145142E-01      .000000E+00
wall id   291 face     -.478470E-01     -.145142E-01      .000000E+00     -.478470E-01     -.145142E-01      .100000E-01     -.461940E-01     -.191342E-01      .100000E-01     -.461940E-01     -.191342E-01      .000000E+00
wall id   292 face     -.461940E-01     -.191342E-01      .000000E+00     -.461940E-01     -.191342E-01      .100000E-01     -.440961E-01     -.235698E-01      .100000E-01     -.440961E-01     -.235698E-01      .000000E+00
wall id   293 face     -.440961E-01     -.235698E-01      .000000E+00     -.440961E-01     -.235698E-01      .100000E-01     -.415735E-01     -.277785E-01      .100000E-01     -.415735E-01     -.277785E-01      .000000E+00
wall id   294 face     -.415735E-01     -.277785E-01      .000000E+00     -.415735E-01     -.277785E-01      .100000E-01     -.386505E-01     -.317197E-01      .100000E-01     -.386505E-01     -.317197E-01      .000000E+00
wall id   295 face     -.386505E-01     -.317197E-01      .000000E+00     -.386505E-01     -.317197E-01      .100000E-01     -.353553E-01     -.353553E-01      .100000E-01     -.353553E-01     -.353553E-01      .000000E+00
wall id   296 face     -.353553E-01     -.353553E-01      .000000E+00     -.353553E-01     -.353553E-01      .100000E-01     -.317197E-01     -.386505E-01      .100000E-01     -.317197E-01     -.386505E-01      .000000E+00
wall id   297 face     -.317197E-01     -.386505E-01      .000000E+00     -.317197E-01     -.386505E-01      .100000E-01     -.277785E-01     -.415735E-01      .100000E-01     -.277785E-01     -.415735E-01      .000000E+00
wall id   298 face     -.277785E-01     -.415735E-01      .000000E+00     -.277785E-01     -.415735E-01      .100000E-01     -.235698E-01     -.440961E-01      .100000E-01     -.235698E-01     -.440961E-01      .000000E+00
wall id   299 face     -.235698E-01     -.440961E-01      .000000E+00     -.235698E-01     -.440961E-01      .100000E-01     -.191342E-01     -.461940E-01      .100000E-01     -.191342E-01     -.461940E-01      .000000E+00
wall id   300 face     -.191342E-01     -.461940E-01      .000000E+00     -.191342E-01     -.461940E-01      .100000E-01     -.145142E-01     -.478470E-01      .100000E-01     -.145142E-01     -.478470E-01      .000000E+00
wall id   301 face     -.145142E-01     -.478470E-01      .000000E+00     -.145142E-01     -.478470E-01      .100000E-01     -.975451E-02     -.490393E-01      .100000E-01     -.975451E-02     -.490393E-01      .000000E+00
wall id   302 face     -.975451E-02     -.490393E-01      .000000E+00     -.975451E-02     -.490393E-01      .100000E-01     -.490085E-02     -.497592E-01      .100000E-01     -.490085E-02     -.497592E-01      .000000E+00
wall id   303 face     -.490085E-02     -.497592E-01      .000000E+00     -.490085E-02     -.497592E-01      .100000E-01      .655671E-08     -.500000E-01      .100000E-01      .655671E-08     -.500000E-01      .000000E+00
wall id   304 face      .655671E-08     -.500000E-01      .000000E+00      .655671E-08     -.500000E-01      .100000E-01      .490086E-02     -.497592E-01      .100000E-01      .490086E-02     -.497592E-01      .000000E+00
wall id   305 face      .490086E-02     -.497592E-01      .000000E+00      .490086E-02     -.497592E-01      .100000E-01      .975452E-02     -.490393E-01      .100000E-01      .975452E-02     -.490393E-01      .000000E+00
wall id   306 face      .975452E-02     -.490393E-01      .000000E+00      .975452E-02     -.490393E-01      .100000E-01      .145142E-01     -.478470E-01      .100000E-01      .145142E-01     -.478470E-01      .000000E+00
wall id   307 face      .145142E-01     -.478470E-01      .000000E+00      .145142E-01     -.478470E-01      .100000E-01      .191342E-01     -.461940E-01      .100000E-01      .191342E-01     -.461940E-01      .000000E+00
wall id   308 face      .191342E-01     -.461940E-01      .000000E+00      .191342E-01     -.461940E-01      .100000E-01      .235698E-01     -.440961E-01      .100000E-01      .235698E-01     -.440961E-01      .000000E+00
wall id   309 face      .235698E-01     -.440961E-01      .000000E+00      .235698E-01     -.440961E-01      .100000E-01      .277785E-01     -.415735E-01      .100000E-01      .277785E-01     -.415735E-01      .000000E+00
wall id   310 face      .277785E-01     -.415735E-01      .000000E+00      .277785E-01     -.415735E-01      .100000E-01      .317197E-01     -.386505E-01      .100000E-01      .317197E-01     -.386505E-01      .000000E+00
wall id   311 face      .317197E-01     -.386505E-01      .000000E+00      .317197E-01     -.386505E-01      .100000E-01      .353553E-01     -.353553E-01      .100000E-01      .353553E-01     -.353553E-01      .000000E+00
wall id   312 face      .353553E-01     -.353553E-01      .000000E+00      .353553E-01     -.353553E-01      .100000E-01      .386505E-01     -.317197E-01      .100000E-01      .386505E-01     -.317197E-01      .000000E+00
wall id   313 face      .386505E-01     -.317197E-01      .000000E+00      .386505E-01     -.317197E-01      .100000E-01      .415735E-01     -.277785E-01      .100000E-01      .415735E-01     -.277785E-01      .000000E+00
wall id   314 face      .415735E-01     -.277785E-01      .000000E+00      .415735E-01     -.277785E-01      .100000E-01      .440961E-01     -.235698E-01      .100000E-01      .440961E-01     -.235698E-01      .000000E+00
wall id   315 face      .440961E-01     -.235698E-01      .000000E+00      .440961E-01     -.235698E-01      .100000E-01      .461940E-01     -.191342E-01      .100000E-01      .461940E-01     -.191342E-01      .000000E+00
wall id   316 face      .461940E-01     -.191342E-01      .000000E+00      .461940E-01     -.191342E-01      .100000E-01      .478470E-01     -.145142E-01      .100000E-01      .478470E-01     -.145142E-01      .000000E+00
wall id   317 face      .478470E-01     -.145142E-01      .000000E+00      .478470E-01     -.145142E-01      .100000E-01      .490393E-01     -.975451E-02      .100000E-01      .490393E-01     -.975451E-02      .000000E+00
wall id   318 face      .490393E-01     -.975451E-02      .000000E+00      .490393E-01     -.975451E-02      .100000E-01      .497592E-01     -.490085E-02      .100000E-01      .497592E-01     -.490085E-02      .000000E+00
wall id   319 face      .497592E-01     -.490085E-02      .000000E+00      .497592E-01     -.490085E-02      .100000E-01      .500000E-01      .874228E-08      .100000E-01      .500000E-01      .874228E-08      .000000E+00
wall id   320 face      .500000E-01      .874228E-08      .000000E+00      .500000E-01      .874228E-08      .100000E-01      .497592E-01      .490086E-02      .100000E-01      .497592E-01      .490086E-02      .000000E+00
